,Comment
0,['hoangquanghuytvbhCòn cái vụ hàng hoá tăng khi giá xăng tăng.còn khi xăng giảm hàng hoá không chịu giảm']
1,['luuvinhgioang85Mong rằng thị trường bđs và chứng khoán khởi sắc hơn.']
2,"['Nguyễn văn tỉnhLãi suất quá cao, tiếp cận vốn khó khăn, ngân hàng muốn vay thì phải mua bảo hiểm, tốt nhất chả làm còn hơn']"
3,"['Le HoangRất nhiều doanh nghiệp trong giai đoạn khó khăn vừa qua bị nợ xấu, giờ muốn tiếp tục vay cũng không vay được dù đã trả dứt điểm nợ cũ. Đề nghị có chính sách hỗ trợ cho nhóm này!']"
4,['Nguyễn văn ThànhMong rằng những gì cần thiết để hỗ trợ kinh tế phát triển thì NHNN cần thực hiện nhanh vì các doanh nghiệp và các thành phần vay đang rất nóng lòng chờ sớm thực hiện .']
5,['Dat LeNên không cho giá cả các mặt hàng tăng nữa.']
6,['Việt Thắng VũLàm sao cho giá bđs xuống .']
7,['hungtinh181107Cho cá nhân hoãn nữa thì tốt']
8,"['phuongthuy1973Cá nhân mất nguồn thu vì mất việc cũng nên được hoãn gốc, chỉ đóng lãi suất']"
9,"['toankhbxHãy cứu doanh nghiệp khi họ đang còn hơi để thở, đừng để sức cùng lực kiệt rồi thì vô phương cứu chữa']"
10,"['nguyenhoanghuyThời buổi này, hay có nhiều người nhận định các phương pháp giáo dục truyền thống không đúng: đánh con là sai, phạt trẻ sẽ làm chúng mất hạnh phúc ... Nhưng không ai đưa ra được phương pháp giáo dục cụ thể như thế nào, để giải quyết các trường hợp thực tế là: trẻ hay bướng bỉnh, không lường được các hậu quả có thể xảy ra và càng không có khả năng chiu trách nhiệm với hậu quả mình gây ra. Dân gian vẫn có câu: ""Dạy con từ thuở còn thơ"" và có một chuyên gia giáo dục người Trung Quốc nói rằng: ""Cha mẹ nên áp đặt quyền lực của mình lên con cái trước khi chúng được 12 tuổi"". Vậy nếu không giáo dục bằng cách bắt nạt trẻ, thì có cách nào khác không? Đã chứng minh được hiệu quả chưa? Và ai cũng biết rằng nuông chiều sẽ làm hại đứa trẻ còn khủng khiếp hơn là áp đặt chúng?']"
11,"['L. BuilKhi phải đối đầu với áp lực xã hội thường xuyên từ chính bản thân mình + từ gia đình + từ xã hội con người có khuynh hướng là chọn cách dễ nhất để giải quyết vấn đề, đó là bạo lực bắt nạt... Trong thiên nhiên mọi loài động vật thường xử lý theo cách này, nhưng nếu cuộc sống dễ dãi hơn và văn minh hơn thì những vụ bắt nạt sẽ ít đi, nói nào ngay ở Mỹ cũng rứa, đó là định luật nhưng có thể du di bằng văn hóa ứng xử...']"
12,"['Minh LongNhận định không đúng! Giáo dục bắt buộc thì phương Đông hay phương Tây vẫn thế. ""học khác, nghĩ khác"" chỉ phù hợp với những môn học kỹ năng thôi; trẻ em thì phải theo từng bước, không thể tùy tiện hay bắt giáo viên chờ đợi làm khác, nghĩ khác trong một tập thể gấp hơn 40 lần. Đó là điều bất khả thi. Phương Tây giáo dục tốt hơn là vì sĩ số lớp học ít hơn, giáo viên có đủ thời gian và kiên nhẫn để lắng nghe, giúp đỡ cách làm khác hay phát hiện khả năng đặc biệt của học sinh. Ở VN các trung tâm Anh ngữ, âm nhạc,... cũng làm được chuyện như tác giả nói. Còn ở trường học thì chắc chắn không.']"
13,['luongduyen03Xin cảm ơn tác giả đã nói lên một thực trạng trong giáo dục! Thế hệ đi trước vừa là sản phẩm vừa là nguyên nhân gây ra sự bắt nạt học đường nói riêng và trong toàn xã hội nói chung! Rất mong xã hội sẽ có nhiều giải pháp để khắc phục!']
14,['hungho30793Đúng là VN phải thay đổi cách suy nghĩ đi.']
15,"['ntkha1985cái mà tác giả nêu lên là hiện trạng chứ không có giải pháp. Nói thiệt là ở trường công 1 lớp có 40-50 học sinh. Mấy đứa nhỏ thì không biết gì, mấy đứa lớn thì lì như quỷ, phụ huynh thì trăm sự nhờ thầy cô. Xin hỏi khi tụi nó sai, quậy phá nên làm gì? Đứng ra nhẹ nhàng khuyên răng không cần trừng phạt? Nói chuyện kiểu đó khác nào xã hội thực thi pháp luật không có các điều khoản trừng phạt khi làm sai, không cần bắt bớ bồi thường ... Quan trọng hơn là lớp 40-50 đứa đứa nào sai cũng nhẹ nhàng khuyên răng thì ai làm, thời gian đâu làm. Nếu muốn vậy phụ huynh cứ đưa sang trường tư, lớp 10-12 đứa có 3-4 cô dạy, còn tuyệt với hơn thì đem về nhà mình mà dạy, lúc đó muốn kiểu nào mà chả được. Nói thiệt kể cả giáo dục của mấy nước như Châu Âu, Mỹ ... có thể không có đòn roi, nhưng trừng phạt là vẫn có. Về việt nam thành ra là không đòn roi, không la mắng, không trừng phạt ...']"
16,"['Bi Bo BonDùng đủ chiêu trò để ép học sinh, phụ huynh tự nguyện cho con HỌC THÊM là điển hình của trò BẮT NẠT. Hành vi này cũng giống như hành vi nhũng nhiễu làm khó khi ĐĂNG KIỂM ô tô . Cần thanh tra kiểm tra nghiêm túc việc dạy thêm học thêm vì sự bất công đối với phụ huynh học sinh mà còn bất công ngay trong đội ngũ giáo viên như có bài báo gần đây nêu có người dạy thêm một tháng kiếm cả trăm triệu.']"
17,"['Phạm MinhBản thân là giáo viên từ khi là học sinh cách đây hơn 20 năm, tôi giật mình nhìn lại, bệnh thành tích tại sao bây giờ lại trầm trọng đến vậy nó lan từ tiểu học lên đến bậc Đh khi tôi đọc báo nói sinh viên tốt nghiệp ĐH bây giờ chủ yếu là bằng giỏi và xuất sắc. Học sinh phải được xuất sắc từ tiểu học gần như là mặc định hiện nay và văn mẫu chính là u nhọt không thể bỏ.']"
18,"['DầnVấn đề là Đạo đức xã hội. Còn trẻ em thì phải học, đòn roi vẫn có ích cho giáo dục nếu sử dụng đúng.']"
19,['Bùi đức khaĐúng những điều mình cảm nhận bấy nay về giao dục Việt Nam hiện nay. Mặc dù khi còn nhỏ mình luôn là con ngoan trò giỏi trong mắt người khác nhưng thực sự mình luôn cảm thấy áp lực nhiều hơn niềm vui khi đến trường. Có thầy cô nào dám chấp nhận phản biện và học hỏi những kiến thức từ học sinh không??']
20,"['nguyễn hoàngCám ơn đóng góp của tác giả. Nhiều giáo viên cũng muốn điều này nhưng quan trọng là sỉ số HS trong 1 lớp đông. GV có rất nhiều việc linh tinh. GV cũng bị áp đặt. Nhiều cô đi dạy trẻ rồi về nhà dạy con, áp lực lớn nhưng lương ít. Trước khi giải phóng cho HS được tự do thì phải giải phóng GV khỏi thành tích, lương thấp, học sinh đông.']"
21,"['OceaniaAi dà, bác cứ nói như này bao người sẽ nhảy chổm lên đấy. Giáo viên làm gì có thời gian để dạy dỗ năm chục em trên lớp nhé, thương cho roi cho vọt nhé, tôi ăn cả đống roi mà vẫn nên người nhé, ông định phủi bỏ công lao của cha mẹ thầy cô đấy à... Nói tóm lại là không có ai muốn bỏ thời gian ra để làm cái điều tốt đẹp mà ông nói tới đâu... Xin lỗi bác, tôi thì tôi đồng ý với bác nhưng tôi nói mãi chả có ai nghe, mệt lắm. Hi vọng là có người nghe lời bác nhé.']"
22,['soemhuhGentle/Authoritative Parenting rất đáng tham khảo.']
23,['Đinh Tien LeĐề nghị tác giả đưa giải pháp? cách thức thực hiện cho phù hợp với Việt Nam?']
24,"['TrầnGiáo dục Việt Nam cần thay đổi triết lý để bắt kịp với thế giới. Tư duy giáo dục mệnh lệnh - phục tùng đã lỗi thời. Đôi khi người lớn áp dụng những phương pháp vượt ra khỏi nội quy nhà trường, thậm chí vi phạm quyền trẻ em để áp đặt cho trẻ. Cách làm này vô tình khiến trẻ nghĩ rằng người có quyền lực hơn sẽ có quyền áp đặt lên những người yếu thế. Hệ luỵ là khi lớn lên, trẻ sẽ cảm thấy bình thường với các hành vi bắt nạt, nhũng nhiễu, xin cho trong xã hội.']"
25,"['ThuXin lỗi nhưng đọc dòng đầu tiên tôi không thể đọc tiếp. Tôi đã từng là người như thế, giờ con tôi lên tiểu học tôi vẫn chưa sửa được hết hẳn nhưng vẫn đang nỗ lực từng ngày. Đó là một sự đấu tranh đau lòng và đầy nước mắt mọi người ạ, mà là nhờ sự hỗ trợ của trường con tôi theo học nữa đó, họ luôn có chương trình Giáo dục phụ huynh để tăng cường sự hỗ trợ từ phía gia đình để học sinh phát triển toàn diện đúng với các giá trị cốt lõi của trường.Nhưng con tôi vẫn bị bắt nạt một cách tinh vi từ những người lớn khác bên ngoài nhà trường, đặc biệt là từ chính bản thân cha mẹ. Mọi người quên mất một nơi mà hành vi bắt nạt còn diễn ra táo tợn hơn đó là nơi học ngoại khoá, các lớp học về năng khiếu. Nghĩ mà ứa nước mắt khi nhớ lại những lời nạt nộ mạt sát của các huấn luyện viên và gương mặt mất sức sống, chai lỳ của các bạn nhỏ trong khi tập luyện. Sau này, robot sẽ có sự thông minh, cân bằng, dẻo dai, mềm mại để thay thế con người trong thi đấu thì sao? Việc của chúng ta, chủ nhân của chúng chỉ là HẠNH PHÚC VUI VẺ BÌNH AN mà thôi.']"
26,"['thelifeistripsVậy học sinh có quyền làm sai, chẳng hạn như bắt nạn bạn bè? có quyền giết người để rồi sửa sai? có quyền làm những điều sai trái nhưng gia đình và giao viên không được phép lên tiếng và dạy dỗ chăng? có ổn không khi trao quá nhiều quyền và sự tự do cho những đối tượng chưa nhận thức được hậu quả có thể đem đến? sau đó chỉ cần bào chữa 1 câu rằng ""cháu nó nhỏ nên chưa biết gì?""']"
27,['trinhthuyCó rất nhiều người trong đó có tôi vẫn đang trằn trọc về việc làm thế nào để giáo dục con đúng và tốt nhất']
28,"['NguoixalaTôi đã từng là GV ở TP HCM cách đây nhiều năm. Khi sang Đức định cư, con tôi học mầm non rồi giờ là cấp 2. Tôi nhận thấy sự khác biệt rất lớn trong chương trình giáo dục của VN và Đức. Đứng ở góc độ là 1 người GV, tôi cũng thấy sự khác biệt giữa cách dạy, cách giáo dục,tư duy...Đứng ở góc độ 1 người Phụ huynh, tôi cũng thấy sự khác biệt. Cuối cùng đứng ở góc độ 1 đứa trẻ, tôi thấy sự khác biệt rất lớn ở sự tự lập, tự tin, có quyền bình đẳng như người lớn và tôn trọng kỷ luật cao.Rất nhiều điều muốn nói nhưng tôi không thể nói chi tiết hết. Tôi chỉ lấy 1 ví dụ tôi thấy: 1 đứa trẻ 2 tuổi đi bộ cùng cha mẹ trên đường, trước mặt là vũng nước mưa to, nếu là tôi (cũng như đa số người Việt khác) sẽ nhắc con tránh vũng nước. Nhưng không, cha mẹ đứa trẻ ngừng lại, cùng khuyến khích cổ vũ con đạp vào vũng nước mà đi, không cần tránh, không cần sợ. Bản thân họ cũng đạp vào vũng nước mà đi qua. Ví dụ khác: đứa trẻ 1 tuổi cùng gia đình vào nhà hàng. Hơn 30p đứa trẻ ngồi trên ghế riêng không có bất cứ phản ứng la khóc, đòi cái này cái nọ, không quấy mẹ...chỉ ngồi cầm chiếc bánh vừa ăn vừa chơi 1 mình. Thỉnh thoảng nhìn mọi người cười toe toét. Những đứa trẻ lớn 3-4 tuổi cũng không bao giờ chạy ra khỏi chỗ ngồi của mình, cũng như không cười giỡn, la hét om sòm.Vì vậy nhà hàng ở Đức không có chỗ cho trẻ con chơi. Chỗ chơi không nằm ở chỗ ăn uống. Sự tuân thủ quy tắc được dạy từ nhỏ và chắc chắn không phải nhờ bắt nạt. Còn nhiều điều lắm lắm!']"
29,['Tô ThứcThầy cô được giáo dục sư phạm hoàn toàn hiểu cách làm việc với trẻ. Muốn kiên nhẫn và lắng nghe trẻ thì cần phải có đủ thời gian. Một cô mười cháu như tây thì mới giáo dục giống tây được.']
30,"['Vương DiệpỦng hộ bài viết này. Giáo dục để hoàn thiện con người nhưng hình như chưa đặt con người vào trọng tâm của mọi hành động. Chúng ta hay nhân danh đám đông, nhân danh tập thể để bào mòn những khác biệt của một cá nhân, trong khi giáo dục nên tìm tòi và tôn vinh những khác biệt ấy. Kể cả khi những khác biệt ấy cần phải sửa chữa lại cho đúng đắn thì cũng phải bằng tình thương và phương pháp thích hợp. Chúng ta sợ VĂN MẪU mà chúng ta không sợ những ROBOT NGƯỜI - cùng một khuôn mẫu hay sao? Rồi QUỸ LỚP thì sợ CÀO BẰNG, phải biến hoá dưới mọi tên gọi để cho nó có vẻ như TỰ NGUYỆN và CÔNG BẰNG. Nhưng thứ đáng quý hơn là CON NGƯỜI lại CỐ CÀO BẰNG trên mọi phương diện?Cải cách giáo dục trước hết phải tìm ra được một triết lý giáo dục để làm kim chỉ nam cho hành động. Còn cái việc thêm môn này, bớt môn kia, tổ hợp này, tổ hợp nọ nó rất thuần cơ học, không có nhiều ý nghĩa hay mang đến sự thay đổi đột biến nào trong giáo dục đâu.']"
31,"['An TưCảm ơn tác giả. Vấn đề dạy bằng bạo lực trong gia đình đã (may mắn) được nhiều bạn đọc nói đến. Ở đây, tôi muốn nêu sự ủng hộ lời kêu gọi của tác giả về việc bỏ lối nghĩ thương cho roi cho vọt trong nhà trường và ngành giáo dục. Tôi đã kinh hoàng khi đọc tin tức về việc một giáo viên cắt tóc nữ sinh trên bục giảng gần đây. Có cái gì đó rất sai trong bức ảnh: ngoài chi tiết cô giáo cầm kéo cắt, điều làm tôi thấy sợ là dáng khoanh tay chịu đựng của cô học trò.Sự thật là việc giáo dục bằng bạo lực không chỉ có tác động tai hại về sức khỏe thể chất, tinh thần, mà còn tập cho người trẻ (đặc biệt người dễ tổn thương) tâm lý cam chịu bạo lực như giải pháp hiển nhiên. Trẻ chấp nhận thay vì đặt nghi vấn khi bị áp chế quyền và xâm hại thân thể, tinh thần. Điều này đặc biệt có hại với sự tự tin ở giới nữ và trẻ có hoàn cảnh thua thiệt. Nếu duy trì, tâm lý và thói quen cam chịu này sẽ được trẻ mang theo đến khi trưởng thành. Kết quả, họ đối mặt rủi ro chịu đựng nhiều bất công về phần mình trong các quan hệ xã hội lẫn gia đình, nhất là khi bạo lực có nhiều hình thức. Vì học sinh ngày nay dành hầu hết thời gian ở trường, cải cách tư duy giáo dục trong học đường là điều bức thiết.Gần đây, khi họp qua mạng với một sinh viên ở Việt Nam, tôi đã bất ngờ về thái độ rất lễ độ pha sợ sệt của cô này. Là người bận lòng với cách nhiều sinh viên Mỹ cư xử thiếu nhã nhặn với giáo sư (nhất là nữ, trẻ) của họ, tôi mong giáo dục tìm được điểm cân bằng, để người dạy và người học đều được tôn trọng.']"
32,"['Phạm VũVề việc vì sao người lớn thiếu kiên nhẫn trong việc giáo dục, tôi nghĩ một phần do khí hậu nóng ẩm làm cho con người dễ bức bối.Xin trích một nhận xét của cố Bộ trưởng giáo dục Nguyễn Văn Huyên:Ở một vài bộ phận thân thể, cơ bắp bị sức nóng gay gắt của mặt trời làm khô đi từ lúc còn nhỏ tuổi và tình trạng này tồn tại từ rất nhiều thế hệ - đã teo lại Đã thế, môi trường vật chất độc hại và làm sa sút sức khoẻ này cùng tác động chẳng kém đến tinh thần người Việt Nam. Tác động trực tiếp nhất và cũng bền bỉ nhất của sức nóng thường xuyên, đó là thần kinh uể oải làm cho con người buồn ngủ và lười nhác. Người ta hay nhận xét, và chẳng phải không có lý, rằng nhược điểm lớn nhất của người Việt Nam là lười biếng, hay ít nhất cũng dễ có khuynh hướng buông trôi.Theo thiển ý của tôi, cần cải tạo đồng thời môi trường tự nhiên + xã hội theo hướng làm cho người Việt bớt dựa vào cảm xúc cá nhân trong hành động thì mới có cơ sở để mọi người thay đổi hành vi.']"
33,['DINH VANGCảm ơn tác giả. Đúng là nền giáo dục của chúng ta đã quá lạc hậu so với nền giáo dục của các nước tiên tiến. Không rõ các nhà hoạch định chính sách giáo dục có ý định thay đổi không nhỉ? Hay vẫn đi theo lối mòn cũ kỹ lạc hậu mà các vị luôn tâm đắc.']
34,"['ngomanhlamĐồng ý với quan điểm của tác giả. Đặc biệt là ý thứ tư, chúng ta từng là nạn nhân, bây giờ chúng ta lại là thủ phạm.']"
